Airline,Origin,Destination,Day,Month,Year,Weekday,Departure_Hour,Arrival_Hour,Duration_Minutes,Stops,Class,WiFi,Meals,Baggage_kg,Price_VND
Bamboo Airways,TP HCM,ĐÀ NẴNG,3.0,4.0,2021.0,5.0,18.0,19.0,90.0,0,ECO SAVER,No,No,7,761000.0
Vietjet,HÀ NỘI,PHÚ QUỐC,12.0,4.0,2021.0,0.0,6.0,8.0,133.0,0,ECO,Yes,Yes,23,4108993.0
Bamboo Airways,THANH HÓA,TP HCM,15.0,4.0,2021.0,3.0,14.0,16.0,131.0,0,ECO SAVER,No,No,7,879919.0
Vietjet,TP HCM,HUẾ,9.0,4.0,2021.0,4.0,21.0,22.0,85.0,0,ECO,No,No,7,860900.0
Vietnam Airlines,SGN,DLI,1.0,5.0,2021.0,5.0,15.0,17.0,65.0,0,ECONOMY,No,Snack,20,1290000.0
Pacific Airlines,TP HCM,CHU LAI,5.0,4.0,2021.0,0.0,14.0,15.0,80.0,0,ECONOMY (EC)-E,No,No,7,925000.0
Vietjet,HAN,DLI,3.0,4.0,2021.0,5.0,13.0,15.0,110.0,0,ECONOMY,Limited,Snack,23,2270028.0
Vietjet,QUY NHƠN,HÀ NỘI,12.0,4.0,2021.0,0.0,8.0,9.0,95.0,0,ECO,No,No,7,960900.0
Pacific Airlines,TP HCM,PHÚ QUỐC,18.0,4.0,2021.0,6.0,17.0,18.0,74.0,0,ECONOMY (EL)-A,No,No,7,716790.0
Vietnam Airlines,CHU LAI,TP HCM,28.0,4.0,2021.0,2.0,19.0,20.0,85.0,0,ECONOMY (EL)-A,No,No,7,760000.0
Vietjet,HÀ NỘI,CẦN THƠ,3.0,4.0,2021.0,5.0,8.0,10.0,130.0,0,ECO,No,No,20,1070900.0
Vietnam Airlines,HAN,DLI,8.0,4.0,2021.0,3.0,14.0,16.0,115.0,0,ECONOMY,No,No,7,969000.0
Bamboo Airways,HÀ NỘI,PHÚ QUỐC,7.0,4.0,2021.0,2.0,7.0,9.0,125.0,0,BUZ SMART,Yes,Yes,23,4912000.0
Vietravel Airlines,HÀ NỘI,TP HCM,13.0,4.0,2021.0,1.0,20.0,23.0,150.0,0,PROMO1 (P) - VÉ KHÔNG HOÀN,No,No,7,846600.0
Vietnam Airlines,VCA,HAN,8.0,4.0,2021.0,3.0,15.0,17.0,135.0,0,ECONOMY,No,No,7,970000.0
Vietnam Airlines,HAN,VCA,9.0,4.0,2021.0,4.0,7.0,9.0,153.0,0,ECONOMY,No,No,7,958444.0
Vietnam Airlines,TP HCM,PHÚ QUỐC,11.0,4.0,2021.0,6.0,12.0,13.0,75.0,0,ECONOMY (EL)-A,No,No,7,694555.0
Vietjet,TP HCM,CHU LAI,4.0,5.0,2021.0,1.0,15.0,16.0,69.0,0,ECO,No,No,7,776818.0
Vietnam Airlines,ĐÀ NẴNG,HÀ NỘI,21.0,4.0,2021.0,2.0,15.0,16.0,78.0,0,ECONOMY (EC)-L,Limited,Snack,20,1637039.0
Vietjet,SGN,DAD,2.0,4.0,2021.0,4.0,20.0,22.0,80.0,0,ECONOMY,No,No,7,694900.0
Vietnam Airlines,TP HCM,ĐÀ NẴNG,1.0,4.0,2021.0,3.0,9.0,11.0,85.0,0,ECONOMY (EC)-E,No,No,7,970000.0
Vietnam Airlines,SGN,DLI,3.0,5.0,2021.0,0.0,17.0,18.0,65.0,0,ECONOMY,No,No,7,726000.0
Bamboo Airways,TP HCM,HẢI PHÒNG,3.0,4.0,2021.0,5.0,12.0,14.0,120.0,0,ECO SAVER,No,No,20,1071000.0
Pacific Airlines,NHA TRANG,TP HCM,2.0,5.0,2021.0,6.0,10.0,11.0,70.0,0,ECONOMY (EF)-H,Limited,Snack,20,1675000.0
Vietnam Airlines,CẦN THƠ,HÀ NỘI,13.0,4.0,2021.0,1.0,19.0,21.0,135.0,0,ECONOMY (EC)-T,No,Snack,20,1400000.0
Vietravel Airlines,SGN,DLI,11.0,4.0,2021.0,6.0,13.0,14.0,55.0,0,ECONOMY,No,No,7,796000.0
